id1 id2 startTime duration
1 107 2670 1
1 107 2676 1
1 112 1721 1
1 112 1737 1
1 112 1806 1
1 112 1810 1
1 112 1824 1
1 112 1826 2
1 112 1839 1
1 112 1846 1
1 112 1859 1
1 112 1913 1
1 112 1924 3
1 112 2220 1
1 112 2713 1
1 121 1821 1
1 121 1823 5
1 121 1831 1
1 121 1889 1
1 121 1906 2
1 121 1927 1
1 121 2127 1
1 121 2129 1
1 121 2131 2
1 121 2135 1
1 121 2137 1
1 121 2146 4
1 121 2219 1
1 121 2230 2
1 121 2577 1
1 121 2690 1
1 121 2712 1
1 135 1930 1
1 135 2126 1
1 135 2429 1
1 135 2432 1
1 135 2496 1
1 135 2576 1
1 137 2274 1
1 138 2253 3
1 139 1717 1
1 139 1807 1
1 139 1819 1
1 139 1825 3
1 139 1893 3
1 139 1898 1
1 139 2127 1
1 139 2139 1
1 139 2225 1
1 139 2347 1
1 139 2585 1
1 144 1995 2
1 144 1999 1
1 144 2033 1
1 144 2036 1
1 144 2038 1
1 144 2040 1
1 144 2082 1
1 145 1988 1
1 145 2698 1
1 147 2248 1
1 156 1687 1
1 156 1689 1
1 156 1691 1
1 156 1996 1
1 164 1879 1
1 168 1987 2
1 168 2289 1
1 175 1733 2
1 175 1746 1
1 175 1758 1
1 175 1761 6
1 175 1798 1
1 175 1816 1
1 175 1829 1
1 175 1831 2
1 175 1834 1
1 175 1837 6
1 175 1845 1
1 175 1847 1
1 175 1850 1
1 175 1852 1
1 175 1854 5
1 175 1907 1
1 175 1914 3
1 175 1918 1
1 175 2121 1
1 175 2124 1
1 175 2126 1
1 175 2221 1
1 175 2226 1
1 175 2605 1
1 175 2622 3
1 175 2626 1
1 175 2677 1
1 175 2679 1
1 175 2714 1
1 182 1980 1
1 195 2130 1
1 195 2133 4
1 195 2160 1
1 195 2406 1
1 195 2493 2
1 195 2498 1
1 195 2538 2
1 195 2541 1
1 195 2551 1
1 195 2638 1
1 195 2643 1
1 197 1983 1
1 197 2032 1
1 197 2063 1
1 200 1737 1
1 200 1816 1
1 200 1829 1
1 200 2127 1
1 200 2579 1
1 222 1807 1
1 222 1810 1
1 222 1820 1
1 222 1823 5
1 222 1831 1
1 222 1887 3
1 222 2135 1
1 222 2155 1
1 222 2183 1
1 222 2206 1
1 222 2226 1
1 222 2254 1
1 222 2687 1
1 222 2690 1
1 227 2309 1
1 245 1757 1
1 245 1766 1
1 245 1806 2
1 245 1832 2
1 245 1851 4
1 245 1887 2
1 245 1928 2
1 245 2121 1
1 245 2124 1
1 245 2132 8
1 245 2141 2
1 245 2144 3
1 245 2591 1
1 245 2600 1
1 245 2623 1
